checkout_id,patron_id,book_id,branch_id,checkout_date,return_date,late_fee
CK0066,P019,BK005,B001,2024-01-17,2024-01-21,0.00
CK0067,P011,BK007,B005,2024-01-17,2024-01-28,0.00
CK0068,P019,BK004,B003,2024-01-17,2024-01-20,0.00
CK0069,P018,BK011,B002,2024-01-18,2024-01-26,0.00
CK0070,P011,BK010,B003,2024-01-18,2024-01-31,0.00
CK0071,P010,BK009,B003,2024-01-18,2024-01-31,0.00
CK0072,P010,BK009,B002,2024-01-18,2024-01-24,0.00
CK0073,P013,BK011,B002,2024-01-18,2024-01-30,0.00
CK0074,P018,BK014,B001,2024-01-18,2024-01-25,0.00
CK0075,P020,BK011,B003,2024-01-19,2024-01-29,0.00
CK0076,P007,BK009,B004,2024-01-19,2024-02-02,0.00
CK0077,P010,BK009,B005,2024-01-19,2024-01-27,0.00
CK0078,P008,BK011,B003,2024-01-19,2024-01-25,0.00
CK0079,P001,BK001,B002,2024-01-19,2024-01-29,0.00
CK0080,P003,BK008,B004,2024-01-19,2024-02-01,0.00
CK0081,P013,BK008,B004,2024-01-20,2024-01-26,0.00
CK0082,P001,BK015,B001,2024-01-20,2024-01-29,0.00
CK0083,P017,BK008,B001,2024-01-20,2024-02-11,2.00
CK0084,P015,BK003,B004,2024-01-21,2024-02-21,4.25
CK0085,P011,BK013,B004,2024-01-22,2024-02-03,0.00
CK0086,P017,BK007,B005,2024-01-22,2024-02-01,0.00
CK0087,P016,BK008,B003,2024-01-22,2024-01-28,0.00
CK0088,P017,BK008,B002,2024-01-22,2024-01-29,0.00
CK0089,P010,BK004,B003,2024-01-22,2024-02-16,2.75
CK0090,P003,BK003,B002,2024-01-22,2024-01-28,0.00
CK0091,P003,BK007,B004,2024-01-23,2024-01-31,0.00
CK0092,P002,BK004,B004,2024-01-23,2024-02-01,0.00
CK0093,P001,BK014,B005,2024-01-23,2024-02-01,0.00
CK0094,P010,BK013,B004,2024-01-24,2024-02-02,0.00
CK0095,P018,BK013,B005,2024-01-24,2024-01-30,0.00
CK0096,P014,BK008,B001,2024-01-24,2024-02-02,0.00
CK0097,P013,BK012,B002,2024-01-24,2024-02-03,0.00
CK0098,P018,BK001,B004,2024-01-25,2024-02-06,0.00
CK0099,P003,BK011,B004,2024-01-25,2024-01-30,0.00
CK0100,P002,BK005,B004,2024-01-25,2024-02-02,0.00
CK0101,P011,BK013,B004,2024-01-25,2024-03-04,6.25
CK0102,P014,BK005,B001,2024-01-25,2024-02-04,0.00
CK0103,P002,BK006,B002,2024-01-25,2024-02-07,0.00
CK0104,P001,BK004,B002,2024-01-26,2024-01-29,0.00
CK0105,P005,BK008,B001,2024-01-26,2024-02-07,0.00
CK0106,P009,BK013,B003,2024-01-27,2024-02-01,0.00
CK0107,P004,BK013,B002,2024-01-27,2024-02-03,0.00
CK0108,P010,BK010,B004,2024-01-27,2024-02-05,0.00
CK0109,P019,BK012,B002,2024-01-28,2024-02-01,0.00
CK0110,P004,BK013,B005,2024-01-29,2024-02-01,0.00
CK0111,P012,BK002,B005,2024-01-29,2024-02-11,0.00
CK0112,P014,BK014,B004,2024-01-29,2024-02-26,3.50
CK0113,P015,BK012,B002,2024-01-29,2024-02-07,0.00
CK0114,P009,BK010,B005,2024-01-29,2024-02-08,0.00
CK0115,P019,BK005,B003,2024-01-29,2024-03-10,6.75
CK0116,P015,BK004,B004,2024-01-30,2024-02-11,0.00
CK0117,P011,BK001,B004,2024-01-30,2024-02-07,0.00
CK0118,P012,BK013,B003,2024-01-30,2024-02-22,2.25
CK0119,P009,BK009,B001,2024-01-30,2024-02-10,0.00
CK0120,P014,BK008,B005,2024-01-31,2024-02-06,0.00
CK0121,P016,BK008,B001,2024-01-31,2024-02-04,0.00
CK0122,P008,BK005,B005,2024-01-31,2024-02-08,0.00
CK0123,P014,BK012,B005,2024-02-01,2024-02-09,0.00
CK0124,P009,BK005,B003,2024-02-01,2024-02-07,0.00
CK0125,P011,BK002,B005,2024-02-01,2024-02-15,0.00
CK0126,P016,BK005,B005,2024-02-01,2024-02-12,0.00
CK0127,P007,BK005,B002,2024-02-02,2024-02-10,0.00
CK0128,P018,BK003,B003,2024-02-02,2024-02-05,0.00
CK0129,P005,BK011,B004,2024-02-03,2024-02-07,0.00
CK0130,P010,BK008,B004,2024-02-03,2024-02-13,0.00
CK0131,P002,BK005,B004,2024-02-03,2024-02-07,0.00
CK0132,P003,BK010,B001,2024-02-04,2024-02-09,0.00
CK0133,P010,BK002,B002,2024-02-04,2024-02-08,0.00
CK0134,P020,BK013,B005,2024-02-05,2024-02-11,0.00
CK0135,P015,BK015,B004,2024-02-05,2024-02-12,0.00
CK0136,P014,BK005,B005,2024-02-05,2024-02-17,0.00
CK0137,P004,BK013,B002,2024-02-05,2024-02-18,0.00
CK0138,P003,BK003,B002,2024-02-05,2024-02-10,0.00
CK0139,P001,BK007,B004,2024-02-05,2024-02-19,0.00
CK0140,P008,BK005,B003,2024-02-06,2024-02-20,0.00
CK0141,P008,BK015,B003,2024-02-06,2024-02-19,0.00
CK0142,P014,BK002,B005,2024-02-07,2024-02-13,0.00
CK0143,P009,BK014,B002,2024-02-07,2024-02-11,0.00
CK0144,P010,BK010,B005,2024-02-07,2024-02-14,0.00
CK0145,P013,BK005,B005,2024-02-08,2024-02-19,0.00
CK0146,P020,BK001,B004,2024-02-08,2024-02-22,0.00
CK0147,P001,BK002,B002,2024-02-08,2024-03-20,6.75
CK0148,P019,BK001,B003,2024-02-08,2024-02-20,0.00
CK0149,P016,BK009,B004,2024-02-09,2024-02-29,1.50
CK0150,P014,BK011,B004,2024-02-09,2024-02-13,0.00
CK0151,P011,BK006,B001,2024-02-09,2024-02-14,0.00
CK0152,P010,BK011,B004,2024-02-10,2024-02-21,0.00
CK0153,P011,BK005,B003,2024-02-10,2024-02-14,0.00
CK0154,P001,BK011,B005,2024-02-11,2024-02-21,0.00
CK0155,P017,BK006,B005,2024-02-11,2024-02-21,0.00
CK0156,P002,BK004,B003,2024-02-11,2024-03-01,1.25
CK0157,P016,BK002,B001,2024-02-12,2024-02-25,0.00
CK0158,P006,BK005,B005,2024-02-12,2024-02-15,0.00
CK0159,P008,BK014,B001,2024-02-12,2024-02-22,0.00
CK0160,P005,BK008,B003,2024-02-12,2024-02-23,0.00
CK0161,P016,BK008,B002,2024-02-12,2024-02-22,0.00
CK0162,P020,BK009,B002,2024-02-13,2024-02-17,0.00
CK0163,P014,BK006,B005,2024-02-13,2024-02-20,0.00
CK0164,P010,BK014,B005,2024-02-13,2024-02-25,0.00
CK0165,P015,BK009,B004,2024-02-14,2024-02-22,0.00
CK0166,P018,BK007,B004,2024-02-14,2024-02-22,0.00
CK0167,P008,BK010,B004,2024-02-14,2024-02-20,0.00
CK0168,P011,BK012,B004,2024-02-15,2024-02-29,0.00
CK0169,P013,BK011,B002,2024-02-15,2024-02-25,0.00
CK0170,P019,BK006,B001,2024-02-16,2024-02-26,0.00
CK0171,P015,BK001,B002,2024-02-16,2024-02-25,0.00
CK0172,P005,BK002,B004,2024-02-16,2024-02-23,0.00
CK0173,P013,BK011,B001,2024-02-16,2024-02-24,0.00
CK0174,P018,BK007,B003,2024-02-16,2024-03-24,5.75
CK0175,P016,BK014,B005,2024-02-16,2024-02-19,0.00
CK0176,P010,BK004,B001,2024-02-17,2024-02-26,0.00
CK0177,P004,BK008,B002,2024-02-17,2024-03-12,2.50
CK0178,P002,BK006,B001,2024-02-17,2024-02-24,0.00
CK0179,P008,BK009,B004,2024-02-18,2024-03-01,0.00
CK0180,P006,BK002,B005,2024-02-19,2024-02-28,0.00
CK0181,P016,BK015,B005,2024-02-19,2024-02-24,0.00
CK0182,P009,BK008,B003,2024-02-19,2024-03-05,0.25
CK0183,P010,BK011,B005,2024-02-20,2024-02-25,0.00
CK0184,P012,BK010,B003,2024-02-20,2024-03-04,0.00
CK0185,P009,BK008,B003,2024-02-20,2024-03-18,3.25
CK0186,P004,BK004,B004,2024-02-20,2024-03-03,0.00
CK0187,P010,BK001,B004,2024-02-20,2024-02-27,0.00
CK0188,P020,BK012,B004,2024-02-21,2024-02-28,0.00
CK0189,P020,BK013,B003,2024-02-21,2024-02-27,0.00
CK0190,P005,BK011,B001,2024-02-22,2024-03-06,0.00
CK0191,P015,BK001,B005,2024-02-22,2024-03-01,0.00
CK0192,P010,BK006,B004,2024-02-22,2024-02-27,0.00
CK0193,P018,BK015,B003,2024-02-22,2024-03-24,4.25
CK0194,P009,BK015,B004,2024-02-23,2024-04-01,6.00
CK0195,P004,BK008,B001,2024-02-23,2024-04-02,6.25
CK0196,P013,BK014,B005,2024-02-23,2024-03-02,0.00
CK0197,P009,BK009,B001,2024-02-24,2024-03-05,0.00
CK0198,P009,BK010,B004,2024-02-25,2024-03-09,0.00
CK0199,P008,BK008,B001,2024-02-25,2024-04-08,7.25
CK0200,P011,BK015,B005,2024-02-25,2024-03-02,0.00
CK0201,P010,BK011,B004,2024-02-26,2024-03-01,0.00
CK0202,P002,BK005,B004,2024-02-26,2024-03-01,0.00
CK0203,P018,BK003,B004,2024-02-26,2024-03-07,0.00
CK0204,P018,BK007,B005,2024-02-26,2024-03-11,0.00
CK0205,P014,BK011,B001,2024-02-26,2024-03-07,0.00
CK0206,P002,BK012,B003,2024-02-27,2024-03-04,0.00
CK0207,P008,BK014,B003,2024-02-27,2024-03-02,0.00
CK0208,P012,BK001,B004,2024-02-27,2024-03-19,1.75
CK0209,P015,BK002,B002,2024-02-27,2024-03-11,0.00
CK0210,P002,BK013,B003,2024-02-28,2024-03-05,0.00
CK0211,P007,BK002,B005,2024-02-28,2024-03-05,0.00
CK0212,P011,BK013,B002,2024-02-29,2024-03-12,0.00
CK0213,P005,BK003,B005,2024-02-29,2024-03-07,0.00
CK0214,P001,BK003,B001,2024-02-29,2024-03-08,0.00
CK0215,P011,BK001,B002,2024-03-01,2024-03-08,0.00
CK0216,P014,BK009,B001,2024-03-01,2024-03-15,0.00
CK0217,P012,BK009,B005,2024-03-01,2024-03-05,0.00
CK0218,P020,BK001,B005,2024-03-01,2024-03-08,0.00
CK0219,P001,BK001,B004,2024-03-01,2024-03-10,0.00
CK0220,P016,BK012,B004,2024-03-01,2024-03-05,0.00
CK0221,P005,BK002,B002,2024-03-02,2024-03-09,0.00
CK0222,P018,BK012,B003,2024-03-02,2024-03-11,0.00
CK0223,P015,BK009,B005,2024-03-02,2024-03-11,0.00
CK0224,P018,BK012,B002,2024-03-03,2024-04-01,3.75
CK0225,P011,BK014,B004,2024-03-04,2024-03-13,0.00
CK0226,P011,BK007,B003,2024-03-04,2024-03-17,0.00
CK0227,P005,BK011,B004,2024-03-04,2024-03-08,0.00
CK0228,P003,BK007,B001,2024-03-04,2024-03-18,0.00
CK0229,P005,BK009,B001,2024-03-04,2024-03-16,0.00
CK0230,P004,BK007,B003,2024-03-05,2024-03-18,0.00
CK0231,P002,BK005,B005,2024-03-05,2024-03-12,0.00
CK0232,P017,BK004,B002,2024-03-05,2024-03-18,0.00
CK0233,P004,BK006,B005,2024-03-05,2024-03-13,0.00
CK0234,P008,BK013,B004,2024-03-06,2024-03-17,0.00
CK0235,P020,BK011,B005,2024-03-06,2024-04-09,5.00
CK0236,P009,BK001,B002,2024-03-06,2024-03-13,0.00
CK0237,P011,BK006,B001,2024-03-06,2024-03-11,0.00
CK0238,P013,BK002,B002,2024-03-06,2024-04-10,5.25
CK0239,P003,BK012,B005,2024-03-06,2024-03-12,0.00
CK0240,P006,BK006,B003,2024-03-07,2024-03-21,0.00
CK0241,P019,BK010,B001,2024-03-07,2024-03-10,0.00
CK0242,P020,BK001,B001,2024-03-07,2024-03-14,0.00
CK0243,P016,BK010,B004,2024-03-07,2024-03-16,0.00
CK0244,P004,BK006,B004,2024-03-08,2024-03-12,0.00
CK0245,P019,BK008,B005,2024-03-08,2024-03-21,0.00
CK0246,P013,BK010,B001,2024-03-08,2024-03-11,0.00
CK0247,P007,BK013,B002,2024-03-08,2024-03-15,0.00
CK0248,P001,BK008,B004,2024-03-08,2024-03-13,0.00
CK0249,P008,BK009,B005,2024-03-08,2024-03-21,0.00
CK0250,P002,BK007,B001,2024-03-09,2024-03-19,0.00
CK0251,P011,BK010,B004,2024-03-09,2024-03-21,0.00
CK0252,P010,BK002,B004,2024-03-10,2024-03-13,0.00
CK0253,P020,BK008,B003,2024-03-10,2024-03-14,0.00
CK0254,P014,BK010,B004,2024-03-11,2024-03-22,0.00
CK0255,P010,BK012,B003,2024-03-11,2024-03-17,0.00
CK0256,P003,BK009,B001,2024-03-11,2024-03-22,0.00
CK0257,P012,BK012,B002,2024-03-12,2024-03-18,0.00
CK0258,P007,BK003,B005,2024-03-12,2024-03-17,0.00
CK0259,P003,BK003,B004,2024-03-12,2024-03-22,0.00
CK0260,P019,BK008,B005,2024-03-12,2024-04-16,5.25
CK0261,P011,BK003,B004,2024-03-13,2024-03-17,0.00
CK0262,P010,BK013,B003,2024-03-13,2024-03-25,0.00
CK0263,P003,BK005,B004,2024-03-13,2024-03-23,0.00
CK0264,P010,BK002,B001,2024-03-13,2024-03-25,0.00
CK0265,P019,BK009,B001,2024-03-14,2024-03-24,0.00
CK0266,P007,BK006,B005,2024-03-14,2024-03-24,0.00
CK0267,P002,BK008,B001,2024-03-14,2024-03-22,0.00
CK0268,P006,BK001,B002,2024-03-14,2024-04-12,3.75
CK0269,P017,BK009,B005,2024-03-14,2024-03-19,0.00
CK0270,P013,BK007,B003,2024-03-15,2024-03-28,0.00
CK0271,P011,BK002,B003,2024-03-15,2024-03-19,0.00
CK0272,P010,BK005,B005,2024-03-15,2024-03-20,0.00
CK0273,P005,BK015,B003,2024-03-15,2024-03-22,0.00
CK0274,P013,BK003,B005,2024-03-16,2024-03-30,0.00
CK0275,P018,BK007,B003,2024-03-16,2024-03-21,0.00
CK0276,P017,BK002,B004,2024-03-16,2024-03-27,0.00
CK0277,P006,BK004,B003,2024-03-17,2024-03-27,0.00
CK0278,P005,BK003,B001,2024-03-17,2024-03-24,0.00
CK0279,P018,BK014,B005,2024-03-18,2024-03-21,0.00
CK0280,P020,BK003,B005,2024-03-18,2024-03-27,0.00
CK0281,P020,BK013,B002,2024-03-18,2024-04-01,0.00
CK0282,P012,BK011,B002,2024-03-18,2024-03-28,0.00
CK0283,P015,BK004,B005,2024-03-18,2024-04-11,2.50
CK0284,P016,BK015,B002,2024-03-18,2024-04-23,5.50
CK0285,P015,BK013,B003,2024-03-19,2024-03-28,0.00
CK0286,P006,BK014,B002,2024-03-19,2024-04-07,1.25
CK0287,P002,BK011,B004,2024-03-19,2024-04-20,4.50
CK0288,P017,BK014,B001,2024-03-19,2024-03-26,0.00
CK0289,P009,BK008,B005,2024-03-19,2024-03-24,0.00
CK0290,P015,BK015,B003,2024-03-20,2024-03-23,0.00
CK0291,P017,BK006,B002,2024-03-20,2024-03-29,0.00
CK0292,P001,BK006,B001,2024-03-20,2024-04-03,0.00
CK0293,P005,BK001,B003,2024-03-21,2024-03-31,0.00
CK0294,P016,BK008,B005,2024-03-21,2024-03-24,0.00
CK0295,P009,BK004,B002,2024-03-21,2024-04-01,0.00
CK0296,P014,BK002,B003,2024-03-22,2024-03-28,0.00
CK0297,P008,BK007,B005,2024-03-22,2024-04-01,0.00
CK0298,P016,BK010,B005,2024-03-22,2024-03-25,0.00
CK0299,P008,BK012,B002,2024-03-22,2024-03-29,0.00
CK0300,P012,BK004,B005,2024-03-22,2024-03-31,0.00
CK0301,P003,BK009,B003,2024-03-22,2024-03-26,0.00
CK0302,P017,BK009,B001,2024-03-23,2024-04-01,0.00
CK0303,P013,BK006,B003,2024-03-23,2024-04-06,0.00
CK0304,P003,BK006,B002,2024-03-23,2024-04-06,0.00
CK0305,P011,BK003,B001,2024-03-24,2024-04-01,0.00
CK0306,P006,BK014,B004,2024-03-24,2024-04-07,0.00
CK0307,P005,BK002,B004,2024-03-24,2024-03-27,0.00
CK0308,P002,BK006,B003,2024-03-25,2024-04-21,3.25
CK0309,P018,BK008,B003,2024-03-25,2024-03-28,0.00
CK0310,P010,BK006,B001,2024-03-25,2024-04-07,0.00
CK0311,P014,BK015,B004,2024-03-26,2024-04-24,3.75
CK0312,P013,BK006,B002,2024-03-26,2024-04-05,0.00
CK0313,P017,BK005,B001,2024-03-26,2024-04-09,0.00
CK0314,P020,BK014,B002,2024-03-26,2024-04-06,0.00
CK0315,P011,BK011,B003,2024-03-27,2024-04-03,0.00
CK0316,P014,BK003,B004,2024-03-27,2024-04-04,0.00
CK0317,P020,BK007,B003,2024-03-28,2024-05-07,6.50
CK0318,P003,BK011,B004,2024-03-28,2024-04-05,0.00
CK0319,P006,BK001,B002,2024-03-28,2024-04-09,0.00
CK0320,P002,BK003,B001,2024-03-28,2024-04-03,0.00
CK0321,P013,BK010,B001,2024-03-29,2024-04-10,0.00
CK0322,P012,BK006,B004,2024-03-29,2024-04-02,0.00
CK0323,P012,BK007,B003,2024-03-29,2024-04-11,0.00
CK0324,P004,BK001,B002,2024-03-29,2024-04-08,0.00
CK0325,P004,BK005,B003,2024-03-30,2024-04-13,0.00
CK0326,P020,BK005,B004,2024-03-30,2024-04-05,0.00
CK0327,P003,BK008,B002,2024-03-30,2024-04-28,3.75
CK0328,P011,BK011,B003,2024-03-31,2024-04-14,0.00
CK0329,P010,BK015,B003,2024-03-31,2024-04-05,0.00
CK0330,P006,BK013,B003,2024-03-31,2024-04-11,0.00
CK0331,P005,BK004,B004,2024-04-01,2024-04-04,0.00
CK0332,P012,BK008,B005,2024-04-01,2024-05-05,5.00
CK0333,P003,BK005,B004,2024-04-01,2024-04-15,0.00
CK0334,P014,BK014,B005,2024-04-02,2024-04-21,1.25
CK0335,P003,BK008,B004,2024-04-02,2024-04-15,0.00
CK0336,P018,BK011,B005,2024-04-02,2024-05-11,6.25
CK0337,P014,BK009,B001,2024-04-02,2024-04-06,0.00
CK0338,P006,BK003,B003,2024-04-02,2024-04-16,0.00
CK0339,P010,BK014,B001,2024-04-03,2024-04-10,0.00
CK0340,P018,BK005,B002,2024-04-03,2024-04-16,0.00
CK0341,P003,BK009,B002,2024-04-03,2024-04-15,0.00
CK0342,P006,BK011,B005,2024-04-03,2024-04-17,0.00
CK0343,P019,BK001,B001,2024-04-03,2024-04-19,0.50
CK0344,P019,BK005,B002,2024-04-03,2024-04-15,0.00
CK0345,P016,BK015,B005,2024-04-04,2024-05-09,5.25
CK0346,P016,BK004,B004,2024-04-04,2024-04-11,0.00
CK0347,P006,BK008,B004,2024-04-05,2024-04-15,0.00
CK0348,P020,BK003,B003,2024-04-05,2024-04-19,0.00
CK0349,P013,BK003,B003,2024-04-06,2024-04-17,0.00
CK0350,P008,BK008,B001,2024-04-06,2024-04-13,0.00
CK0351,P002,BK005,B004,2024-04-07,2024-04-19,0.00
CK0352,P011,BK015,B005,2024-04-08,2024-04-22,0.00
CK0353,P006,BK008,B005,2024-04-08,2024-05-08,4.00
CK0354,P016,BK001,B001,2024-04-08,2024-04-17,0.00
CK0355,P007,BK010,B003,2024-04-09,2024-04-12,0.00
CK0356,P020,BK015,B004,2024-04-09,2024-04-16,0.00
CK0357,P004,BK007,B002,2024-04-09,2024-04-16,0.00
CK0358,P012,BK001,B004,2024-04-10,2024-04-13,0.00
CK0359,P012,BK009,B003,2024-04-10,2024-04-14,0.00
CK0360,P018,BK005,B005,2024-04-10,2024-04-23,0.00
CK0361,P004,BK007,B003,2024-04-10,2024-05-12,4.50
CK0362,P005,BK004,B005,2024-04-10,2024-04-21,0.00
CK0363,P002,BK003,B003,2024-04-11,2024-04-21,0.00
CK0364,P020,BK015,B005,2024-04-11,2024-05-06,2.75
CK0365,P006,BK007,B005,2024-04-12,2024-04-26,0.00
CK0366,P011,BK009,B005,2024-04-12,2024-04-23,0.00
CK0367,P010,BK008,B001,2024-04-12,2024-04-20,0.00
CK0368,P014,BK010,B003,2024-04-12,2024-04-26,0.00
CK0369,P020,BK008,B003,2024-04-13,2024-05-23,6.50
CK0370,P019,BK004,B001,2024-04-14,2024-04-26,0.00
CK0371,P020,BK013,B004,2024-04-14,2024-04-19,0.00
CK0372,P002,BK010,B001,2024-04-14,2024-04-20,0.00
CK0373,P005,BK007,B002,2024-04-15,2024-04-24,0.00
CK0374,P016,BK014,B001,2024-04-15,2024-04-29,0.00
CK0375,P018,BK006,B004,2024-04-15,2024-04-26,0.00
CK0376,P006,BK008,B005,2024-04-15,2024-04-23,0.00
CK0377,P009,BK010,B004,2024-04-15,2024-04-21,0.00
CK0378,P010,BK004,B003,2024-04-16,2024-04-23,0.00
CK0379,P016,BK006,B004,2024-04-16,2024-05-18,4.50
CK0380,P009,BK005,B001,2024-04-16,2024-04-28,0.00
CK0381,P013,BK014,B003,2024-04-16,2024-04-21,0.00
CK0382,P003,BK006,B004,2024-04-16,2024-04-29,0.00
CK0383,P007,BK004,B005,2024-04-16,2024-04-23,0.00
CK0384,P005,BK002,B005,2024-04-17,2024-05-01,0.00
CK0385,P002,BK011,B005,2024-04-17,2024-04-23,0.00
CK0386,P004,BK007,B003,2024-04-17,2024-05-01,0.00
CK0387,P005,BK001,B005,2024-04-17,2024-04-22,0.00
CK0388,P016,BK011,B002,2024-04-18,2024-04-25,0.00
CK0389,P002,BK015,B001,2024-04-18,2024-05-01,0.00
CK0390,P002,BK015,B002,2024-04-18,2024-04-27,0.00
CK0391,P002,BK014,B004,2024-04-18,2024-05-08,1.50
CK0392,P010,BK015,B001,2024-04-18,2024-04-21,0.00
CK0393,P011,BK005,B004,2024-04-19,2024-05-02,0.00
CK0394,P005,BK014,B005,2024-04-19,2024-04-29,0.00
CK0395,P011,BK003,B004,2024-04-20,2024-05-03,0.00
CK0396,P011,BK013,B003,2024-04-21,2024-05-03,0.00
CK0397,P020,BK014,B004,2024-04-22,2024-05-01,0.00
CK0398,P013,BK011,B001,2024-04-22,2024-04-27,0.00
CK0399,P008,BK001,B003,2024-04-22,2024-05-01,0.00
CK0400,P011,BK005,B005,2024-04-23,2024-05-07,0.00
CK0401,P012,BK012,B002,2024-04-23,2024-04-26,0.00
CK0402,P010,BK003,B004,2024-04-23,2024-05-24,4.25
CK0403,P010,BK012,B001,2024-04-23,2024-06-06,7.50
CK0404,P020,BK004,B002,2024-04-24,2024-04-29,0.00
CK0405,P020,BK006,B004,2024-04-24,2024-05-26,4.50
CK0406,P018,BK013,B002,2024-04-24,2024-04-30,0.00
CK0407,P003,BK009,B004,2024-04-24,2024-05-05,0.00
CK0408,P004,BK001,B005,2024-04-25,2024-05-06,0.00
CK0409,P005,BK003,B003,2024-04-25,2024-05-06,0.00
CK0410,P007,BK012,B005,2024-04-25,2024-05-12,0.75
CK0411,P015,BK013,B001,2024-04-25,2024-05-05,0.00
CK0412,P015,BK010,B001,2024-04-25,2024-05-06,0.00
CK0413,P010,BK012,B001,2024-04-25,2024-05-04,0.00
CK0414,P019,BK002,B001,2024-04-26,2024-05-05,0.00
CK0415,P018,BK001,B001,2024-04-26,2024-05-06,0.00
CK0416,P006,BK013,B002,2024-04-26,2024-05-09,0.00
CK0417,P012,BK015,B004,2024-04-27,2024-06-08,7.00
CK0418,P013,BK007,B001,2024-04-27,2024-05-10,0.00
CK0419,P005,BK011,B003,2024-04-28,2024-05-18,1.50
CK0420,P013,BK009,B002,2024-04-28,2024-05-12,0.00
CK0421,P001,BK005,B004,2024-04-28,2024-05-11,0.00
CK0422,P013,BK014,B002,2024-04-29,2024-05-05,0.00
